City,Latitude,Longitude,Property_Type,Ownership,Condition,Available_Utilities,Bedrooms,Bathrooms,Size_sqm,Price_NGN
Kano,11.95567,8.61096,Detached House,Rent,Old,Water,5.0,2.0,146.0,492831067.0
Kano,11.96095,8.60748,Duplx,Sale,Fairly Used,Electricity,4.0,1.0,302.0,175286989.0
Kano,12.02602,8.61534,Mini Flat,Sale,Old,Parking,3.0,1.0,201.0,429649899.0
Ibadan,7.33192,3.95058,Detached House,Rent,New,Water,3.0,3.0,478.0,87910001.0
Benin city,6.38374,5.65175,Appartment,Sale,Old,Internet,2.0,3.0,540.0,30147823.0
Abuja,9.08737,7.43622,Duplx,Sale,Old,Security,1.0,2.0,76.0,112017787.0
Jos,9.90304,8.81791,Mini Flat,Rent,Old,Internet,4.0,4.0,464.0,42798142.0
Benin city,6.34173,5.61395,Detached House,Rent,New,Internet,3.0,1.0,488.0,318944458.0
Benin city,6.30414,5.5579,Detached House,Rent,New,Water,6.0,4.0,212.0,417759669.0
Enugu,6.51032,7.49694,Mini Flat,Sale,New,Security,6.0,1.0,134.0,39587677.0
Enugu,6.56417,7.55657,Duplex,Rent,Fairly Used,Internet,6.0,2.0,580.0,484302959.0
Kano,12.01498,8.61518,Detached House,Sale,New,Water,3.0,4.0,375.0,208891303.0
Kano,12.01863,8.63183,Apartment,Rent,Old,Water,1.0,3.0,279.0,479753307.0
Maiduguri,11.825,13.18071,Detached House,Sale,Old,Water,5.0,2.0,301.0,325521581.0
Ibadan,7.34984,3.90033,Bungalow,Sale,Fairly Used,Parking,5.0,2.0,308.0,2451420.0
Kano,12.00775,8.62103,Studio,Rent,Old,Internet,5.0,4.0,419.0,28521434.0
Abuja,9.05027,7.40702,Studio,Rent,Old,Parking,2.0,1.0,204.0,283313973.0
Kaduna,10.51483,7.41167,Bungalow,Rent,Old,Security,6.0,3.0,71.0,284207063.0
Enugu,6.51618,7.53363,Detached House,Sale,Old,Internet,2.0,2.0,409.0,70066081.0
Benin city,6.3565,5.55603,Bungalow,Sale,New,Parking,4.0,1.0,584.0,3224233.0
Lagos,6.50954,3.38447,Detached House,Sale,Old,Internet,2.0,4.0,435.0,83691834.0
Jos,9.8863,8.83129,Duplx,Sale,New,Security,4.0,1.0,357.0,286121016.0
Kano,12.05,8.55769,Duplex,Sale,New,Parking,3.0,2.0,588.0,80115339.0
Ibadan,7.40667,3.98538,Duplx,Rent,Old,Parking,2.0,3.0,594.0,196707880.0
Abuja,9.11969,7.41139,Appartment,Rent,Old,Internet,1.0,4.0,430.0,435105582.0
Kaduna,10.50956,7.42059,Detached House,Sale,New,Internet,6.0,2.0,65.0,271023778.0
Benin city,6.3576,5.63074,Duplex,Rent,Fairly Used,Water,2.0,1.0,594.0,77009288.0
Jos,9.93489,8.89937,Studio,Rent,Old,Electricity,5.0,3.0,149.0,51397272.0
Kano,11.99169,8.56738,Duplx,Rent,Old,Electricity,4.0,1.0,438.0,167697107.0
Abuja,9.06031,7.36086,Detached House,Sale,New,Electricity,3.0,2.0,212.0,60265054.0
Port harcourt,4.84916,7.05759,Studio,Rent,Old,Security,3.0,3.0,593.0,332245399.0
Maiduguri,11.8495,13.19734,Detached House,Rent,Fairly Used,Water,5.0,4.0,498.0,413212741.0
Kano,11.97768,8.61986,Mini Flat,Rent,Old,Internet,6.0,1.0,512.0,485723333.0
Enugu,6.54985,7.47316,Mini Flat,Rent,Old,Water,2.0,3.0,169.0,237237611.0
Kano,12.00989,8.55451,Detached House,Rent,Old,Security,6.0,2.0,416.0,180495221.0
Maiduguri,11.79149,13.14227,Appartment,Sale,Fairly Used,Security,1.0,3.0,193.0,379963341.0
Enugu,6.48118,7.54938,Apartment,Sale,New,Water,1.0,1.0,396.0,65482926.0
Port harcourt,4.85113,7.09043,Mini Flat,Rent,Old,Internet,6.0,2.0,495.0,129902448.0
Ibadan,7.3866,3.93175,Duplex,Rent,Old,Internet,2.0,1.0,208.0,228787032.0
Enugu,6.52904,7.54209,Bungalow,Sale,Old,Water,1.0,2.0,349.0,68925927.0
Lagos,6.53142,3.35287,Detached House,Sale,New,Internet,5.0,4.0,337.0,126645868.0
Ibadan,7.35756,3.98314,Mini Flat,Sale,Fairly Used,Parking,2.0,4.0,148.0,440453770.0
Maiduguri,11.87131,13.1661,Studio,Rent,Old,Water,3.0,3.0,351.0,184059987.0
Kano,12.00678,8.58523,Mini Flat,Sale,Fairly Used,Electricity,5.0,2.0,90.0,316253490.0
Port harcourt,4.80289,7.04775,Duplx,Rent,Old,Internet,6.0,3.0,173.0,307757272.0
Jos,9.9079,8.84377,Detached House,Rent,Fairly Used,Internet,2.0,4.0,396.0,51182178.0
Abuja,9.04824,7.37501,Studio,Sale,Fairly Used,Parking,6.0,1.0,444.0,278278603.0
Kaduna,10.56282,7.4581,Apartment,Sale,Fairly Used,Security,6.0,1.0,304.0,234832339.0
Port harcourt,4.85091,7.07308,Apartment,Rent,New,Internet,3.0,1.0,509.0,93145740.0
Jos,9.91709,8.82295,Apartment,Rent,Fairly Used,Water,1.0,3.0,51.0,31570956.0
Abuja,9.06332,7.42205,Duplx,Sale,Fairly Used,Electricity,3.0,1.0,423.0,246041189.0
Enugu,6.54668,7.47322,Duplex,Rent,Fairly Used,Parking,6.0,2.0,394.0,47488487.0
Enugu,6.56291,7.55409,Apartment,Rent,New,Parking,5.0,4.0,436.0,5042265.0
Lagos,6.50476,3.37029,Apartment,Rent,Fairly Used,Water,3.0,1.0,477.0,426185776.0
Abuja,9.06733,7.38172,Duplx,Sale,Old,Security,4.0,1.0,308.0,222435599.0
Maiduguri,11.82417,13.11247,Apartment,Rent,Old,Parking,2.0,4.0,399.0,82696443.0
Lagos,6.52102,3.42565,Bungalow,Rent,Fairly Used,Water,3.0,2.0,277.0,42001312.0
Lagos,6.48249,3.3949,Detached House,Rent,Old,Security,6.0,1.0,434.0,37752388.0
Kano,12.01005,8.5598,Studio,Sale,New,Water,5.0,4.0,268.0,61475184.0
Ibadan,7.36048,3.90321,Studio,Rent,New,Security,5.0,3.0,570.0,365150836.0
Enugu,6.55748,7.55245,Appartment,Sale,Old,Security,5.0,2.0,358.0,106656539.0
Abuja,9.06178,7.4033,Studio,Sale,Fairly Used,Internet,1.0,3.0,464.0,61889082.0
Port harcourt,4.86405,7.0093,Bungalow,Sale,Fairly Used,Internet,5.0,1.0,95.0,297020715.0
Enugu,6.52232,7.48734,Bungalow,Sale,Old,Parking,2.0,4.0,163.0,239184275.0
Kaduna,10.47763,7.41402,Detached House,Sale,New,Security,6.0,4.0,42.0,272786160.0
Benin city,6.33082,5.62397,Duplex,Rent,Old,Water,3.0,2.0,297.0,103010871.0
Ibadan,7.34752,3.97874,Apartment,Sale,New,Security,4.0,2.0,597.0,81175395.0
Jos,9.89251,8.86775,Mini Flat,Sale,Old,Water,5.0,2.0,181.0,450248649.0
Ibadan,7.37977,3.97419,Detached House,Rent,New,Electricity,5.0,4.0,317.0,41387664.0
Ibadan,7.37262,3.98359,Appartment,Rent,Fairly Used,Water,3.0,1.0,144.0,303865357.0
Jos,9.87203,8.83593,Duplex,Rent,Fairly Used,Internet,6.0,4.0,270.0,27337527.0
Kaduna,10.4862,7.41051,Duplx,Rent,New,Security,3.0,4.0,158.0,97973261.0
Kano,11.95451,8.57658,Apartment,Rent,Fairly Used,Security,5.0,3.0,586.0,204237873.0
Abuja,9.11148,7.35459,Studio,Sale,Fairly Used,Internet,3.0,2.0,280.0,75673833.0
Kaduna,10.48208,7.47396,Appartment,Rent,New,Internet,3.0,1.0,551.0,475385185.0
Jos,9.87005,8.82525,Mini Flat,Rent,New,Internet,5.0,1.0,495.0,63505835.0
Jos,9.85941,8.83163,Apartment,Rent,Fairly Used,Parking,6.0,3.0,96.0,94727939.0
Lagos,6.54786,3.33118,Apartment,Sale,New,Electricity,5.0,3.0,565.0,82887070.0
Enugu,6.55505,7.54896,Duplex,Rent,New,Internet,6.0,2.0,66.0,61723718.0
Enugu,6.53344,7.55019,Mini Flat,Sale,Old,Electricity,1.0,2.0,501.0,61277000.0
Kaduna,10.50553,7.39557,Mini Flat,Rent,New,Security,2.0,3.0,64.0,88979473.0
Ibadan,7.42066,3.98415,Mini Flat,Sale,Fairly Used,Electricity,1.0,2.0,392.0,385585598.0
Abuja,9.10102,7.3824,Bungalow,Rent,Fairly Used,Internet,1.0,3.0,137.0,420344854.0
Lagos,6.49784,3.33959,Detached House,Rent,New,Internet,6.0,2.0,94.0,287001918.0
Jos,9.85406,8.80864,Apartment,Sale,Fairly Used,Water,4.0,2.0,509.0,38069069.0
Abuja,9.0473,7.41402,Duplex,Rent,Fairly Used,Security,5.0,2.0,413.0,81801935.0
Benin city,6.30477,5.60763,Mini Flat,Rent,Old,Water,6.0,3.0,348.0,228045887.0
Maiduguri,11.78912,13.18579,Duplx,Rent,Old,Parking,1.0,2.0,407.0,367926180.0
Benin city,6.34259,5.60308,Appartment,Sale,Old,Internet,5.0,1.0,60.0,178707818.0
Ibadan,7.40207,3.92649,Duplex,Sale,Old,Security,4.0,1.0,584.0,417246026.0
Maiduguri,11.80603,13.16865,Appartment,Rent,New,Electricity,6.0,4.0,102.0,19173895.0
Kano,12.00658,8.63904,Duplx,Rent,Old,Internet,3.0,3.0,486.0,60202743.0
Abuja,9.03704,7.40011,Apartment,Rent,New,Water,5.0,1.0,314.0,75489791.0
Maiduguri,11.82804,13.17009,Duplx,Rent,Fairly Used,Internet,4.0,1.0,500.0,307322421.0
Benin city,6.33472,5.57782,Detached House,Sale,Old,Internet,2.0,2.0,580.0,276554902.0
Benin city,6.29227,5.61718,Apartment,Rent,Old,Electricity,3.0,1.0,228.0,280303146.0
Enugu,6.50256,7.46003,Studio,Rent,Fairly Used,Internet,4.0,3.0,243.0,234789801.0
Abuja,9.07122,7.44028,Apartment,Rent,New,Electricity,4.0,4.0,566.0,62013077.0
Abuja,9.05951,7.41428,Apartment,Sale,New,Internet,3.0,3.0,79.0,314331869.0
Maiduguri,11.84293,13.15156,Apartment,Rent,Fairly Used,Parking,3.0,2.0,447.0,50132128.0
Port harcourt,4.81387,7.01336,Appartment,Rent,New,Internet,6.0,4.0,361.0,80150448.0
Jos,9.90265,8.81391,Mini Flat,Sale,New,Parking,1.0,4.0,553.0,401217299.0
Ibadan,7.40991,3.91947,Duplex,Sale,Fairly Used,Security,3.0,4.0,514.0,60348056.0
Ibadan,7.37977,3.96434,Duplx,Sale,Fairly Used,Parking,4.0,1.0,65.0,96948920.0
Abuja,9.07813,7.35827,Studio,Rent,Old,Internet,6.0,1.0,581.0,88484722.0
Benin city,6.28446,5.61413,Appartment,Rent,Old,Security,3.0,2.0,414.0,86834555.0
Lagos,6.54548,3.39464,Bungalow,Rent,New,Electricity,6.0,1.0,305.0,285343468.0
Maiduguri,11.7921,13.19225,Apartment,Sale,Old,Internet,6.0,3.0,182.0,5516951.0
Kano,12.00295,8.55239,Duplx,Rent,Old,Water,1.0,1.0,498.0,42679300.0
Benin city,6.29435,5.60006,Duplex,Sale,New,Security,1.0,3.0,256.0,169293421.0
Jos,9.92176,8.89,Studio,Rent,Old,Internet,2.0,2.0,461.0,95245101.0
Jos,9.87816,8.84168,Mini Flat,Rent,New,Security,1.0,2.0,385.0,463420118.0
Kaduna,10.53628,7.43854,Appartment,Sale,Fairly Used,Security,5.0,2.0,165.0,37964763.0
Kaduna,10.48064,7.47827,Duplx,Rent,Fairly Used,Parking,5.0,4.0,194.0,367044015.0
Jos,9.93628,8.81901,Mini Flat,Sale,Old,Security,5.0,3.0,444.0,63680194.0
Maiduguri,11.87711,13.15622,Studio,Rent,Old,Parking,2.0,1.0,180.0,52056585.0
Abuja,9.11898,7.38156,Appartment,Sale,Fairly Used,Electricity,4.0,4.0,345.0,31988465.0
Kano,12.00023,8.62625,Apartment,Sale,New,Parking,6.0,2.0,218.0,70938190.0
Abuja,9.08494,7.36992,Duplx,Rent,New,Internet,3.0,4.0,222.0,57665399.0
Kano,12.00098,8.60479,Studio,Rent,Old,Water,5.0,3.0,116.0,267756445.0
Abuja,9.04704,7.39856,Duplex,Rent,New,Water,5.0,4.0,251.0,132626870.0
Benin city,6.34704,5.55514,Apartment,Sale,Fairly Used,Electricity,5.0,4.0,315.0,7269724.0
Lagos,6.52624,3.37884,Mini Flat,Rent,Old,Electricity,6.0,1.0,438.0,6517940.0
Kano,12.03714,8.56319,Detached House,Rent,Fairly Used,Internet,1.0,4.0,346.0,70974924.0
Kano,11.98375,8.57742,Duplex,Sale,New,Water,3.0,1.0,97.0,305164627.0
Maiduguri,11.80818,13.10768,Studio,Sale,Old,Internet,6.0,4.0,294.0,14001200.0
Port harcourt,4.81664,7.0166,Mini Flat,Rent,New,Parking,1.0,1.0,237.0,403141039.0
Lagos,6.51072,3.40667,Duplx,Sale,Old,Parking,5.0,4.0,380.0,141556024.0
Kano,11.95332,8.56462,Mini Flat,Sale,Fairly Used,Security,4.0,3.0,119.0,298466883.0
Port harcourt,4.86184,7.01468,Bungalow,Rent,New,Internet,3.0,4.0,143.0,79928648.0
Lagos,6.49539,3.37816,Bungalow,Sale,Fairly Used,Security,5.0,3.0,564.0,94643187.0
Kaduna,10.54091,7.42509,Appartment,Rent,New,Internet,6.0,4.0,199.0,184758914.0
Benin city,6.32686,5.57761,Bungalow,Sale,Old,Water,6.0,4.0,525.0,180710232.0
Abuja,9.07074,7.42885,Duplx,Rent,Old,Water,4.0,1.0,149.0,73892872.0
Maiduguri,11.7835,13.15691,Apartment,Sale,Fairly Used,Internet,4.0,3.0,190.0,375224213.0
Kano,11.95372,8.61198,Bungalow,Sale,New,Internet,1.0,4.0,505.0,495284471.0
Lagos,6.53117,3.41053,Detached House,Sale,New,Security,4.0,3.0,471.0,323462130.0
Benin city,6.35413,5.61833,Studio,Rent,Old,Internet,3.0,2.0,242.0,428466927.0
Benin city,6.29212,5.64267,Detached House,Sale,New,Security,5.0,3.0,320.0,65725484.0
Jos,9.84887,8.90226,Appartment,Rent,New,Parking,5.0,1.0,333.0,30469622.0
Benin city,6.34431,5.59901,Duplx,Rent,New,Security,6.0,3.0,560.0,438071407.0
Lagos,6.5494,3.35766,Appartment,Rent,Fairly Used,Parking,6.0,3.0,146.0,4098215.0
Jos,9.85265,8.85534,Studio,Sale,Fairly Used,Internet,2.0,3.0,480.0,215440827.0
Jos,9.84769,8.81995,Mini Flat,Rent,Fairly Used,Water,4.0,2.0,459.0,184056684.0
Port harcourt,4.77612,7.06818,Appartment,Rent,New,Water,3.0,3.0,104.0,404459057.0
Benin city,6.28965,5.6129,Duplx,Sale,New,Security,3.0,2.0,303.0,71059155.0
Kaduna,10.54554,7.3901,Detached House,Sale,Old,Parking,5.0,3.0,424.0,16747209.0
Port harcourt,4.80833,7.08994,Duplex,Rent,New,Electricity,6.0,1.0,552.0,496563241.0
Ibadan,7.38331,3.93796,Bungalow,Sale,Old,Internet,1.0,2.0,455.0,343725629.0
Benin city,6.34328,5.61241,Mini Flat,Sale,Fairly Used,Security,1.0,4.0,382.0,162134647.0
Benin city,6.3061,5.62757,Appartment,Sale,Old,Water,5.0,3.0,500.0,67617580.0
Ibadan,7.34185,3.94778,Bungalow,Rent,Fairly Used,Parking,1.0,1.0,264.0,25339480.0
Port harcourt,4.84193,7.07277,Appartment,Sale,Fairly Used,Parking,2.0,3.0,562.0,70795600.0
Maiduguri,11.8585,13.10183,Duplex,Sale,Old,Parking,5.0,3.0,528.0,310659961.0
Ibadan,7.40986,3.98634,Bungalow,Sale,Fairly Used,Parking,2.0,3.0,58.0,78136407.0
Port harcourt,4.82232,7.0215,Apartment,Sale,Fairly Used,Internet,1.0,4.0,340.0,28563025.0
Benin city,6.30088,5.6375,Mini Flat,Rent,Old,Parking,4.0,2.0,470.0,70156882.0
Enugu,6.47572,7.50554,Duplx,Rent,New,Internet,3.0,4.0,326.0,242893364.0
Ibadan,7.35911,3.97707,Appartment,Sale,New,Parking,5.0,2.0,202.0,73813575.0
Abuja,9.03975,7.44802,Detached House,Sale,New,Electricity,1.0,1.0,403.0,52235992.0
Kano,12.01109,8.56056,Apartment,Sale,New,Water,5.0,4.0,363.0,185709319.0
Jos,9.9096,8.85012,Mini Flat,Sale,Old,Electricity,5.0,4.0,192.0,80166506.0
Lagos,6.56656,3.42086,Detached House,Rent,Old,Electricity,6.0,2.0,119.0,85597449.0
Abuja,9.0728,7.44306,Studio,Rent,Fairly Used,Security,5.0,2.0,186.0,18506869.0
Abuja,9.05313,7.40602,Duplex,Rent,Old,Water,3.0,3.0,589.0,45660624.0
Port harcourt,4.86067,7.03645,Bungalow,Sale,New,Security,1.0,1.0,387.0,68283660.0
Jos,9.86609,8.84014,Appartment,Sale,Old,Water,5.0,3.0,524.0,498969908.0
Maiduguri,11.82407,13.12065,Appartment,Rent,Old,Parking,4.0,4.0,405.0,81423880.0
Kaduna,10.48032,7.40223,Bungalow,Rent,New,Internet,3.0,2.0,563.0,36411310.0
Benin city,6.29887,5.59203,Apartment,Rent,New,Security,2.0,2.0,158.0,40538002.0
Abuja,9.09897,7.41301,Mini Flat,Rent,Old,Parking,1.0,4.0,299.0,58881066.0
Maiduguri,11.82919,13.15665,Bungalow,Sale,New,Security,3.0,1.0,227.0,4992473.0
Enugu,6.50018,7.47485,Studio,Sale,Fairly Used,Electricity,2.0,2.0,409.0,5087906.0
Lagos,6.48283,3.39829,Detached House,Rent,Old,Water,4.0,2.0,282.0,39294620.0
Enugu,6.50169,7.47961,Studio,Rent,New,Electricity,3.0,4.0,589.0,59786828.0
Port harcourt,4.79253,7.04897,Duplx,Sale,New,Internet,5.0,2.0,460.0,24377890.0
Benin city,6.34458,5.62622,Bungalow,Rent,New,Security,3.0,2.0,523.0,11946206.0
Enugu,6.49828,7.5469,Detached House,Rent,Fairly Used,Security,3.0,1.0,175.0,465601232.0
Benin city,6.3542,5.60406,Duplex,Sale,Old,Parking,4.0,4.0,125.0,443229399.0
Enugu,6.47715,7.47858,Detached House,Sale,Fairly Used,Security,2.0,3.0,492.0,114979929.0
Port harcourt,4.81603,7.06673,Apartment,Rent,Fairly Used,Water,2.0,3.0,327.0,17964254.0
Kano,11.99612,8.55655,Duplex,Rent,Old,Water,3.0,4.0,526.0,369753608.0
Kaduna,10.56766,7.41315,Apartment,Sale,New,Parking,4.0,3.0,538.0,215563574.0
Ibadan,7.39214,3.9263,Duplx,Sale,Fairly Used,Parking,6.0,1.0,67.0,325226097.0
Kano,12.03837,8.56216,Mini Flat,Rent,New,Parking,2.0,2.0,119.0,47921913.0
Ibadan,7.39373,3.97623,Bungalow,Sale,New,Security,2.0,1.0,188.0,351723900.0
Kano,11.97168,8.61502,Mini Flat,Rent,Old,Parking,6.0,2.0,565.0,51570252.0
Jos,9.94645,8.89317,Duplex,Sale,Old,Electricity,1.0,3.0,291.0,47616967.0
Jos,9.92945,8.84091,Duplx,Sale,Old,Water,6.0,2.0,406.0,378183447.0
Lagos,6.55571,3.36378,Studio,Sale,New,Parking,6.0,4.0,415.0,66368718.0
Maiduguri,11.78625,13.12312,Appartment,Sale,Old,Security,1.0,2.0,332.0,11681617.0
Abuja,9.04826,7.42119,Duplex,Sale,New,Water,1.0,2.0,464.0,34525888.0
Kano,11.96451,8.59249,Appartment,Rent,New,Parking,6.0,3.0,327.0,47438479.0
Ibadan,7.40497,3.97381,Mini Flat,Sale,New,Electricity,5.0,3.0,382.0,32625227.0
Kaduna,10.53767,7.41946,Appartment,Rent,New,Parking,5.0,2.0,564.0,25873172.0
Port harcourt,4.85558,7.04387,Duplx,Rent,New,Water,3.0,3.0,88.0,379541778.0
Benin city,6.30995,5.58263,Duplx,Sale,Fairly Used,Internet,5.0,1.0,326.0,212991436.0
Lagos,6.49301,3.3323,Appartment,Sale,New,Internet,5.0,4.0,397.0,54792482.0
Jos,9.88254,8.86037,Detached House,Sale,New,Internet,2.0,4.0,314.0,178451312.0
Ibadan,7.42026,3.95365,Bungalow,Rent,Old,Security,4.0,1.0,157.0,44942263.0
Abuja,9.03545,7.35784,Bungalow,Sale,Old,Water,1.0,4.0,138.0,269004042.0
Port harcourt,4.81009,7.06305,Bungalow,Rent,New,Water,1.0,4.0,576.0,60093066.0
Jos,9.92664,8.86082,Duplex,Rent,New,Electricity,6.0,3.0,359.0,78061440.0
Port harcourt,4.77777,7.06276,Duplx,Sale,Fairly Used,Security,4.0,4.0,570.0,85634257.0
Kano,12.01264,8.56635,Duplex,Rent,Old,Water,3.0,2.0,278.0,73819547.0
Kaduna,10.50011,7.39465,Mini Flat,Sale,New,Water,2.0,1.0,73.0,43906615.0
Abuja,9.08822,7.43382,Bungalow,Rent,Fairly Used,Internet,2.0,2.0,508.0,77862722.0
Maiduguri,11.80165,13.14596,Duplx,Rent,Fairly Used,Electricity,1.0,1.0,410.0,9406996.0
Abuja,9.05927,7.38299,Duplex,Sale,Fairly Used,Parking,6.0,4.0,400.0,27477971.0
Port harcourt,4.85996,7.00768,Bungalow,Sale,Fairly Used,Electricity,5.0,1.0,590.0,475380568.0
Port harcourt,4.82905,7.01543,Apartment,Rent,New,Water,5.0,4.0,270.0,33296437.0
Benin city,6.31042,5.60061,Duplx,Sale,New,Water,6.0,3.0,144.0,76420559.0
Jos,9.93955,8.81488,Duplx,Rent,New,Security,4.0,2.0,354.0,28757652.0
Maiduguri,11.79208,13.17719,Appartment,Sale,Old,Parking,5.0,4.0,374.0,499446892.0
Kaduna,10.48979,7.45249,Detached House,Rent,Fairly Used,Electricity,3.0,2.0,456.0,51477972.0
Jos,9.90475,8.90026,Apartment,Sale,Fairly Used,Internet,4.0,3.0,495.0,43843076.0
Lagos,6.56682,3.33327,Studio,Sale,Fairly Used,Water,3.0,4.0,193.0,342920262.0
Maiduguri,11.86607,13.19736,Studio,Rent,Fairly Used,Internet,3.0,2.0,270.0,41253491.0
Lagos,6.55159,3.36846,Bungalow,Sale,New,Security,3.0,4.0,266.0,45065113.0
Lagos,6.51345,3.36003,Duplex,Rent,New,Electricity,6.0,3.0,469.0,193982442.0
Lagos,6.49769,3.40285,Bungalow,Rent,New,Water,5.0,2.0,449.0,14732374.0
Ibadan,7.37733,3.94044,Duplex,Rent,New,Security,3.0,1.0,270.0,27275774.0
Maiduguri,11.86722,13.18988,Bungalow,Sale,Fairly Used,Security,2.0,3.0,389.0,98188487.0
Benin city,6.32665,5.57723,Detached House,Sale,New,Water,6.0,1.0,61.0,10393607.0
Jos,9.88572,8.85348,Apartment,Sale,New,Parking,3.0,2.0,389.0,100294867.0
Abuja,9.05517,7.4247,Bungalow,Rent,Old,Electricity,6.0,1.0,475.0,280018992.0
Jos,9.90465,8.87238,Duplx,Rent,Fairly Used,Parking,4.0,1.0,318.0,55498838.0
Benin city,6.31204,5.63835,Bungalow,Sale,Fairly Used,Security,1.0,1.0,583.0,399800709.0
Kano,12.01816,8.60772,Duplx,Sale,Old,Security,1.0,3.0,322.0,27800790.0
Ibadan,7.37899,3.90547,Duplx,Rent,Fairly Used,Electricity,6.0,2.0,565.0,308088011.0
Lagos,6.47447,3.36578,Duplex,Sale,Old,Security,6.0,4.0,372.0,433628994.0
Benin city,6.37621,5.55767,Apartment,Rent,Fairly Used,Security,3.0,2.0,581.0,410461797.0
Lagos,6.52857,3.36411,Appartment,Sale,New,Internet,3.0,3.0,551.0,55601702.0
Kano,12.02439,8.56994,Bungalow,Sale,Old,Water,6.0,4.0,217.0,99634983.0
Benin city,6.36922,5.59344,Detached House,Rent,Fairly Used,Electricity,3.0,1.0,333.0,65633319.0
Lagos,6.52247,3.35905,Duplex,Rent,Old,Internet,2.0,3.0,378.0,65868482.0
Jos,9.93279,8.89675,Bungalow,Rent,Fairly Used,Electricity,5.0,3.0,289.0,325647344.0
Enugu,6.50812,7.51027,Detached House,Sale,Fairly Used,Parking,2.0,3.0,451.0,344058322.0
Port harcourt,4.85678,7.05991,Duplx,Sale,Fairly Used,Water,1.0,4.0,586.0,32983086.0
Kaduna,10.56686,7.42855,Appartment,Rent,New,Parking,4.0,4.0,541.0,13413810.0
Port harcourt,4.8279,7.08244,Studio,Rent,Fairly Used,Security,6.0,2.0,352.0,7389677.0
Kaduna,10.48172,7.47071,Duplx,Sale,Old,Security,5.0,1.0,481.0,327940072.0
Kano,11.96513,8.58562,Duplex,Rent,New,Security,2.0,3.0,385.0,483953396.0
Kaduna,10.51599,7.46614,Duplex,Rent,New,Electricity,6.0,2.0,368.0,41445397.0
Kano,12.00104,8.55611,Detached House,Sale,Fairly Used,Security,4.0,1.0,59.0,4264928.0
Jos,9.89502,8.88794,Appartment,Rent,Old,Internet,5.0,2.0,44.0,6225289.0
Benin city,6.29294,5.61981,Appartment,Sale,Old,Water,3.0,3.0,363.0,424828517.0
Maiduguri,11.78286,13.10838,Studio,Rent,Fairly Used,Internet,2.0,2.0,523.0,449858221.0
Jos,9.90027,8.89025,Duplex,Sale,Fairly Used,Electricity,1.0,4.0,520.0,11888145.0
Enugu,6.50945,7.49657,Detached House,Rent,Fairly Used,Parking,1.0,4.0,352.0,72725310.0
Benin city,6.32211,5.57958,Duplx,Rent,New,Parking,5.0,1.0,160.0,325001516.0
Lagos,6.5606,3.3665,Detached House,Sale,New,Electricity,5.0,1.0,122.0,91999798.0
Benin city,6.29972,5.56043,Bungalow,Rent,New,Internet,1.0,2.0,42.0,87160262.0
Maiduguri,11.84,13.18242,Duplex,Rent,Old,Water,5.0,3.0,66.0,444113218.0
Ibadan,7.36346,3.96941,Bungalow,Sale,Fairly Used,Parking,1.0,4.0,557.0,96580873.0
Lagos,6.50269,3.33265,Mini Flat,Sale,Fairly Used,Security,5.0,2.0,321.0,44301116.0
Lagos,6.56567,3.42909,Apartment,Sale,New,Electricity,6.0,3.0,110.0,57593897.0
Ibadan,7.38438,3.98884,Mini Flat,Sale,Fairly Used,Electricity,2.0,1.0,367.0,61761993.0
Enugu,6.50802,7.49281,Detached House,Sale,New,Electricity,4.0,1.0,568.0,478077075.0
Lagos,6.48482,3.40174,Mini Flat,Rent,Old,Parking,3.0,3.0,241.0,98170400.0
Abuja,9.11451,7.43711,Duplex,Sale,Fairly Used,Electricity,3.0,1.0,581.0,226214613.0
Kano,11.97624,8.60235,Studio,Sale,New,Internet,2.0,2.0,271.0,344959006.0
Jos,9.9251,8.8177,Studio,Sale,New,Electricity,2.0,1.0,362.0,319173264.0
Maiduguri,11.8704,13.12278,Detached House,Rent,Old,Water,1.0,4.0,486.0,333947804.0
Benin city,6.29658,5.57518,Duplx,Sale,Old,Electricity,2.0,3.0,574.0,63111751.0
Benin city,6.35776,5.62686,Duplex,Sale,Old,Parking,3.0,1.0,415.0,51515197.0
Abuja,9.05493,7.35043,Bungalow,Rent,New,Parking,4.0,4.0,105.0,40226821.0
Kaduna,10.4823,7.4437,Bungalow,Sale,Fairly Used,Parking,2.0,4.0,547.0,275603319.0
Ibadan,7.40838,3.97932,Appartment,Sale,Old,Parking,2.0,2.0,507.0,406718524.0
Kaduna,10.4937,7.45183,Bungalow,Rent,Old,Parking,5.0,1.0,509.0,459885467.0
Maiduguri,11.8648,13.17598,Duplex,Sale,Old,Internet,1.0,1.0,291.0,369445421.0
Kaduna,10.50201,7.45115,Mini Flat,Rent,Fairly Used,Internet,5.0,1.0,42.0,61958806.0
Port harcourt,4.84072,7.05264,Appartment,Rent,Fairly Used,Parking,6.0,1.0,124.0,333009544.0
Port harcourt,4.77547,7.02773,Duplex,Rent,New,Internet,1.0,3.0,340.0,217906651.0
Benin city,6.28798,5.6426,Detached House,Sale,New,Internet,2.0,1.0,345.0,58103748.0
Abuja,9.06846,7.41,Duplex,Rent,New,Parking,6.0,4.0,599.0,158093525.0
Benin city,6.29722,5.58544,Duplex,Rent,New,Electricity,6.0,1.0,577.0,328014059.0
