Title,Price,Location,Description
4bdrm Duplex in Akala Express for sale,"₦ 150,000,000",Akala Express,"For Sale Newly Built 4-Bedroom Duplex + Maid’s Room Title Documents: CofO, Approved Building Plan,..."
"2bdrm Bungalow in Olorunkemi Estate, Ibadan for sale","₦ 35,000,000",Ibadan,"Twins flat of 2 bedroom each attached with a room and parlour selfcontain at olorunkemi Estate,..."
4bdrm Bungalow in Olokofefe Vitory Est for sale,"₦ 15,000,000",Odo Ona,Uncompleted 4bungalow on a full plot of land in Serene environment Location:olokofefe victory...
"Furnished 4bdrm Bungalow in Power Line, Akobo for sale","₦ 68,000,000",Akobo,This property is to be sold with the items therein. A bungalow of 4room ensuite situated in an...
"4bdrm Bungalow in Saribi Tose, Moniya for sale","₦ 8,500,000",Moniya,*4 Beds / Moniya / 8.5M * For Sale !! Uncompleted 4 Beds Bungalow Home in a newly developing site...
"4bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 180,000,000",Akobo,Tastefully finished newly built luxurious 4-bedroom detached duplex with state of the art...
3bdrm Duplex in Akoto Estate 🏡 Elebu for sale,"₦ 180,000,000",Akala Express,"*Distress sales* A one year old ... 2unit or 3bedroom duplex and 1unit of 2bedroom duplex , all room..."
"4bdrm Duplex in Chief Lateef Oyelade, Oluyole Estate for sale","₦ 180,000,000",Oluyole Estate,a luxuriously designed semi detached 4-bedroom duplex in prime location. *top features:* - decently...
3bdrm Duplex in Adamasingba for sale,"₦ 105,000,000",Adamasingba,For Sale *Note* *Price Changed* Property Options Available: Standard 3-Bedroom Fully Detached...
"Furnished 2bdrm Bungalow in Baptist Grammar, Jericho for sale","₦ 45,000,000",Jericho,"*Direct Sales @ Baptist Grammar School, NIHORT AREA, IBADAN* Modern 2 bedroom apartment on about..."
"4bdrm Duplex in Carlton Gate Estate, for sale","₦ 230,000,000",Ibadan,*For Sale* Newly built and exquisitely finished 4-bedroom fully detached duplex with a self...
"2bdrm Bungalow in Aho Area, Olodo, Ibadan for sale","₦ 5,000,000",Ibadan,"For Sale cheap habitable 2 bedroom bungalow on half plot of land at Aho area, Olodo Garage off Iwo..."
"4bdrm Bungalow in Teller Estate, Akobo for sale","₦ 20,000,000",Akobo,"4 bedrooms all en suite with security House fenced but not gated, roofed completed Contact for..."
3bdrm Bungalow in Soka for sale,"₦ 22,000,000",Soka,"Neatly Used 3 bedroom flat for sale at Idi Agbon, Soka Ibadan. Features - ⁠Fenced - Access road..."
"Furnished 3bdrm Bungalow in Eleyele Area, Ibadan for sale","₦ 65,000,000",Eleyele,*newly built 2 unit available* *for sale in ibadan city* modern newly built 3 bedroom detached...
4bdrm Duplex in Basorun for sale,"₦ 220,000,000",Basorun,4 bedroom duplex with BQ at gated estate lere adigun GRA Basorun ibadan Newly built 4-bedroom...
Furnished 3bdrm Bungalow in Moniya Express for sale,"₦ 55,000,000",Ibadan,"*for sale in ibadan* a fully furnished 3-bedroom bungalow on 503sqm of land at aba odo, irepodun..."
"5bdrm Bungalow in Old Ife Road, Ibadan for sale","₦ 60,000,000",Ibadan,*3 & 2 beds / Old Ife Road For Sale Magnificent 3 bedrooms bungalow with 2 bedrooms BQ and a mini...
"4bdrm Duplex in Carlton Gate Gra, Akobo for sale","₦ 170,000,000",Akobo,"*tastefully finished newly built luxurious 4 bedroom detached duplex at carlton gate gra, beside..."
"4bdrm Block of Flats in Derin, Jericho for sale","₦ 85,000,000",Jericho,"This is a classy beautiful 4 bedroom apartment is one of the most secured, clean, strategic..."
2bdrm Duplex in Oluyole Estate for sale,"₦ 90,000,000",Oluyole Estate,For sale newly built fully detached 3-bedroom duplexes with a Boys’ Quarters (BQ) and 2-bedroom...
"5bdrm Duplex in Peace And Progress, Akobo for sale","₦ 200,000,000",Akobo,"A standard 5 bedroom semi detached duplex with a 3 bedroom flat, a 2 bedroom flat and two units of..."
"5bdrm Block of Flats in Papa Ogungbade,, Ibadan for sale","₦ 10,000,000",Ibadan,"Distress sale Property for sale at Adegbayi, Ibadan, papa Ogungbade area, in a very serene and..."
4bdrm Duplex in Oluyole Estate for sale,"₦ 270,000,000",Oluyole Estate,"Luxury 4-Bedroom Duplex in Oluyole Estate, Ibadan A stunning newly built 4-bedroom duplex located in..."
"4bdrm Duplex in Engr Lere Adigun, Basorun for sale","₦ 170,000,000",Basorun,#Markprize/pol/23/04/25# FOR SALE 8 Units of 4 Bedrooms duplexes with modern fittings at Engr Lere...
"5bdrm Duplex in Air Force Estate, Akobo for sale","₦ 185,000,000",Akobo,*5 Beds / Akobo / 185M* For Sale !! Newly Build 5 Bedrooms Duplex Home With Bq In Serene Gated...
"4bdrm Duplex in Airforce Estate, Akobo for sale","₦ 120,000,000",Akobo,*tastefully finished newly built luxurious 4-bedroom detached duplex with state of the art...
4bdrm Duplex in Oluyole for sale,"₦ 160,000,000",Oluyole Estate,"Direct Brief % Luxury 4-Bedroom Duplex for Sale in Ibadan Chief Lateef Oyelade GRA, Oluyole..."
4bdrm Duplex in Lateef Oyelade Gra for sale,"₦ 260,000,000",Oluyole Estate,"For sale Luxury and spacious 4-Bedroom Duplex + BQ Chief Lateef Oyelade GRA, Oluyole Industrial..."
3bdrm Block of Flats in Moniya for sale,"₦ 40,000,000",Moniya,For Sale: Two units of two bedroom flat and a unit of room/parlor self contained in a compound at...
6bdrm Bungalow in Ojoo for sale,"₦ 25,000,000",Ojoo,"Exclusive opportunity for who knows better thing. Two nos of 3 bedrooms flat at Òjoo, Ibadan, FENCE..."
4bdrm Duplex in Bodija for sale,"₦ 150,000,000",Bodija,Newly built 4 bedroom duplex at new Bodija Ibadan Distress sale Newly completed 4bedroom duplex at...
3bdrm Block of Flats in Apete-Awotan Ibadan for sale,"₦ 35,000,000",Ibadan Polytechnic/University,"Four flats for Sale: 2 Uinits of 4 bedroom flats 2 Uinits of 3 bedroom flats All rooms, Ensuite..."
"3bdrm Duplex in Asejire Coca-Cola, Ibadan for sale","₦ 75,000,000",Ibadan,For Sale 3 Bedrooms Fully Detached duplex Home in Adron Estate *Facilities CCTV DStv Fire...
3bdrm Duplex in Oluyole Estate for sale,"₦ 150,000,000",Oluyole Estate,Tastefully finished newly built luxurious 4-bedroom detached duplex with a room bq with all modern...
"3bdrm Bungalow in Oluwo Nla Estate, Basorun for sale","₦ 65,000,000",Basorun,Quick Sales 3bedrms fully detached bungalow in a serene n secured environment on a large expanse of...
5bdrm Duplex in Oluyole Estate for sale,"₦ 250,000,000",Oluyole Estate,"Newly Built Luxury 5 Bedroom Duplex + BQ at Oluyole Estate, Ibadan. This property is semi-furnished..."
"Furnished 5bdrm Duplex in Temidire, Ologuneru for sale","₦ 150,000,000",Ologuneru,"Sales @ Temidire Estate Ologuneru Newly built 5 bedroom detached duplex, spacious & en suite..."
"4bdrm Bungalow in Peace Estate, Akala Express for sale","₦ 20,000,000",Akala Express,This is a lovely detached 4 bedroom bungalow in a nice location. It has a very spacious living room...
4bdrm House in Rind Road for sale,"₦ 70,000,000",Rind Road,"Fairly Used 4 bedroom Storey building up and down with a room and parlor BQ for sale At Anfani, Off..."
3bdrm Block of Flats in Ibadan for sale,"₦ 115,000,000",Ibadan,A standard two units 2 bedroom flats and 3 bedroom flats for sale at Olohunda Ibadan. Description:...
"3bdrm Bungalow in Harmony Estate, Eleyele for sale","₦ 60,000,000",Eleyele,*new 2 unit available* *for sale* (direct brief) *modern newly built 3 bedroom detached bungalow ...
4bdrm Duplex in Agodi for sale,"₦ 180,000,000",Agodi,"4 bedroom duplex with BQ at Ikolaba Estate, Agodi ibadan (dauda) New 4 bedroom duplex with a..."
"2bdrm Apartment in Chief Lateef Oyelade, Rind Road for sale","₦ 70,000,000",Rind Road,For sale a luxuriously designed 2bedroom apartment in prime location. located at chief lateef...
"3bdrm Bungalow in Ateere, After for sale","₦ 80,000,000",Akala Express,For sale *luxury edifice* ■spacious 3bed | 4bath (main house) ■room and palor self attached ■...
3bdrm Block of Flats in Adeoyo Hospital Road for sale,"₦ 150,000,000",Rind Road,"A Block of 3 Bedroom Flats with 2 Bedroom Basement on 1,200 sqm on Main Adeoyo State Hospital Road,..."
"12bdrm Apartment in Akuru, Elebu Off, Ibadan for sale","₦ 90,000,000",Ibadan,"For Sale Newly built 4 units of 3 bedroom apartment at Akuru, Elebu off akala express. Title:..."
5bdrm Duplex in Oluyole Estate for sale,"₦ 240,000,000",Oluyole Estate,"FOR SALE Luxury 5-bedroom Duplex + BQ at BROWN GATE, Oluyole Estate, Ibadan (Gated, Tarred and..."
4bdrm House in Gbongudu Akobo for sale,"₦ 70,000,000",Akobo,"For sale Modern 4 bedroom Bungalow!* - 4 bedrooms, 5 bathrooms modern bungalow home - Smart..."
"Furnished 3bdrm Bungalow in Ateere, Akala Express for sale","₦ 77,000,000",Akala Express,direct property to Aksammy Global HUB Ventures & property for sale *3bedroom bungalow* *1bedroom...
Furnished 4bdrm Duplex in Jericho for sale,"₦ 160,000,000",Jericho,4 bedroom duplex with BQ at Greenland estate Jericho GRA Ibadan Furnished 4 bedroom semi detached...
"5bdrm Duplex in Ile-Tuntun Estate,, Idishin for sale","₦ 165,000,000",Idishin,a luxuriously designed fully detached 5bedroom duplex + bq. *features * - decently finished to...
4bdrm Duplex in Bollad Event for sale,"₦ 125,000,000",Akala Express,*For sale* 2 units of newly built 4bedroom duplex with contemporary amenities• *Location : peace...
"3bdrm Bungalow in Awotan, Eleyele for sale","₦ 20,000,000",Eleyele,"An en-suite 3bed room apartment on a big plot of land inside Island Estate, Awotan, Apete. Closer to..."
"5bdrm Duplex in Aerodrome Gra, Samonda for sale","₦ 350,000,000",Samonda,"This is a very beautiful newly built 5 bedroom duplex with a bq and a pent house in a well planned,..."
4bdrm Duplex in Jericho for sale,"₦ 180,000,000",Jericho,"Newly Built 3 bedroom and 4 bedroom Duplexes inside Estate in Jericho, Close to Golden Tulip Hotel •..."
"8bdrm Block of Flats in Bodija, Farayola for sale","₦ 23,000,000",Bodija,"Smart investors -this property is for Sale , Bodija Close to UI, Ibadan Asking price - 35m *It can..."
"Furnished 8bdrm Duplex in Orogun, Ibadan, Ojoo for sale","₦ 60,000,000",Ojoo,"Hot Sale Twin duplex of 4 bedroom with bq for sale, Orogun, Ibadan 4 rooms in each duplex (3 rooms..."
4bdrm Duplex in Akobo for Sale,"₦ 120,000,000",Akobo,3 unit of 4 bedroom duplex at alengogo area akobo ibadan 3 unit of 4 bedroom duplex home in...
"3bdrm Duplex in Kolapo Ishola Gra, for sale","₦ 270,000,000",Ibadan,FOR SALE | PREMIUM LISTING An Exceptional Investment Opportunity in Ibadan! Ref:Mp/Pol/280725A ...
"5bdrm Duplex in Adex Area, Monatan, Iwo Road for sale","₦ 92,000,000",Iwo Road,All room Ensuite * 2 Living rooms with waiting rooms * 2 bedroom BQ * Reading room * Functional...
"4bdrm Bungalow in Bashorun Housing, Akobo for sale","₦ 75,000,000",Akobo,*4 Beds / Basorun Estate For Sale !! Newly Built 3 Beds Bungalow Home With A Room Bq in a fully...
"12bdrm Block of Flats in Alegongo Estate, Akobo for sale","₦ 80,000,000",Akobo,*4 flats / Akobo / 80M* For Sale 4 units of 3 bedrooms apartment each in high brow location when...
"Furnished 4bdrm Duplex in Temidayo Ajadi, Ologuneru for sale","₦ 60,000,000",Ologuneru,For sale A specious 4 bedroom duplex with modern facilities Features:- - All rooms en-suite -...
"3bdrm Bungalow in Olokofefe Est, Odo Ona for sale","₦ 14,000,000",Odo Ona,3bedrooms with another 3bedrooms on foundation level on a full plot . Pvc ceiling Location:...
"9bdrm House in St. John, Akala Express for sale","₦ 70,000,000",Akala Express,"This is a lovely property with great ROI, near a tarred road Comprising of 1 unit of 3 Bedroom..."
"Furnished 5bdrm Duplex in Providence Estate,, Ibadan for sale","₦ 350,000,000",Ibadan,Furnished 5 bedroom semi detached duplex with another 2 bedroom duplex in a compound for sale at...
4bdrm Duplex in Carlton Gate Estate for sale,"₦ 230,000,000",Ibadan,#markprizepo#08*02*25# Newly Built Fully Detached 4-Bedroom Duplex with a Room BQ...
Furnished 10bdrm Mansion in Onikoko Agodi Gra for sale,"₦ 800,000,000",Agodi,*Hot deal * elegant masion home on sale in high brow area of ibadan where powerful people reside...
Furnished 4bdrm Duplex in New Bodija Estate for sale,"₦ 75,000,000",Bodija,Tastefully Finished Luxurious Newly Built 4 Bedroom Detached Duplex at New Bodija with all modern...
"20bdrm Villa in Aare Avenue Estate, Bodija for sale","₦ 200,000,000",Bodija,` |NEED TO SELL VERY FAST|` *_|AVAILABLE SALES PROJECT|_* A Commercial property with current...
"3bdrm Block of Flats in Arapaja, Odo-Ona for sale","₦ 55,000,000",Odo Ona,A well maintained and spacious 4nos 3 bedroom flat on a little over a plot of land at ODO-ONA...
4bdrm Duplex in Start Gate Oluyole for sale,"₦ 230,000,000",Oluyole Estate,These are 2 units of newly built elegant fully detached 4 bedroom duplexes in the heart of...
4bdrm House in Iwo Road for sale,"₦ 33,000,000",Iwo Road,"A Four bedroom flat at Elewe Odo, Iwo Road, Ibadan Description: A Standard four bedroom flat for..."
Furnished 4bdrm Duplex in Oluyole for sale,"₦ 400,000,000",Oluyole Estate,For sale Fully automated Luxury 4bedroom duplex +BQ Location : Aare Oluyole Ibadan Facilities...
4bdrm Duplex in Akobo for sale,"₦ 130,000,000",Akobo,"‎ *DIRECT BRIEF* ‎FOR SALE: FULLY DETACHED 4-BEDROOM DUPLEX WITH ‎ ‎Location: PALACE ESTATE, AKALA,..."
"15bdrm Block of Flats in Harmony Estate, Ologuneru for sale","₦ 100,000,000",Ologuneru,New listing *6 blocks of flat / ologuneru / 120m* for sale !! rental property in fully developed...
"5bdrm Bungalow in God'S City Estate., Akobo for sale","₦ 80,000,000",Akobo,A Newly Renovated 5bedroim Bungalow with pop and all basic faculties on 1027 square metres of land...
"4bdrm Duplex in Palace Estate, Akobo for sale","₦ 130,000,000",Akobo,*for sale in ibadan* tastefully built 4 bedroom duplex with top notch facilities in a well secured...
"4bdrm Duplex in Iyaganku Gra, Iyanganku for sale","₦ 150,000,000",Iyanganku,Direct from the owner : Newly built 3units of 4bedrooms semi detached duplex with modern facilities...
"3bdrm Duplex in Carlton Gate Estate, Agodi for sale","₦ 140,000,000",Agodi,"Tastefully built 3 bedroom detached duplex with luxury fittings, kitchen cabinets, wardrobes and"
3bdrm Bungalow in Ologuneru for sale,"₦ 18,000,000",Ologuneru,"For Sale: Uncompleted three bedroom flat at Ologuneru, Ibadan. LocationOloguneru, Ibadan Features..."
"4bdrm Duplex in Palace Estate , for sale","₦ 130,000,000",Akobo,"*for sale* fully detached 4-bedroom duplex + bq location: palace estate, akala, akobo, ibadan,..."
4bdrm Duplex in Oluyole Estate for sale,"₦ 250,000,000",Oluyole Estate,"For sale Luxury 4-bedroom duplex + BQ This is the perfect place to call home! Oluyole estate ,..."
"4bdrm Block of Flats in Aworawo, Ojoo for sale","₦ 40,000,000",Ojoo,Two units of 4bedroom & 3bedroom with a garage on 801sqm land. Benefits Well fenced and...
Furnished 5bdrm Bungalow in Akobo for sale,"₦ 150,000,000",Akobo,"5 Bedroom Luxury Bungalow Aiyegoro Estate, Akobo Ibadan Property Details: Land Size: 918 sqm..."
"4bdrm Duplex in Kolapo Ishola Gra, for sale","₦ 450,000,000",Ibadan,FOR SALE | LUXURY LISTING Newly Built Units of 4-Bedroom Detached Duplex with Basement and Attached...
"4bdrm Bungalow in Elebu Estate, Akala Express for sale","₦ 60,000,000",Akala Express,*4 Beds / Elebu For Sale !! Uncompleted 4 Bedrooms Bungalow Home In a fully Developed Area Elebu...
"5bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 200,000,000",Akobo,Tastefully finished newly built luxurious 4-bedroom detached duplex with a room bq at kolapo ishola...
"4bdrm Duplex in Olunloyo Gra, Rind Road for sale","₦ 135,000,000",Rind Road,Brand new modetn 4 bedroom fully detached duplex with bq features: 4bedrooms ⁃ family lounge all...
Furnished 4bdrm Duplex in Jericho for sale,"₦ 180,000,000",Jericho,"Luxury 3 & 4 bedroom duplexes for sale (24 units each) jericho gra, ibadan top features: -secured..."
"12bdrm Block of Flats in Idiape, Agodi for sale","₦ 90,000,000",Agodi,FOR SALE Block of 4flat of 3 bedroom at Supreme hotel area behind NNPC petrol station Idi ape...
8bdrm Block of Flats in Ibadan for sale,"₦ 60,000,000",Ibadan,"Now Selling 2 nos of 4 bedrooms flat for sale at Basorun Ibadan, opposite BCOS IBADAN. Secure and..."
5bdrm Duplex in Ologuneru for sale,"₦ 150,000,000",Ologuneru,5 bedroom duplex with 3 living room and BQ at Adetokun Ologuneru Ibadan Elegantly built 5bedrooms...
4bdrm Duplex in Carlton Gate Estate for sale,"₦ 200,000,000",Ibadan,"FOR SALE Ref:MP#Pol#200625B A newly built four bedroom duplex with a BQ at Carlton Gate Estate,..."
"5bdrm Duplex in Ikolaba Estate, Agodi for sale","₦ 220,000,000",Agodi,*5 Beds / Ikolaba Estate For Sale !! Newly built Modern 4 Beds Fully Detached Duplex Home + A maid...
18bdrm Block of Flats in Agbowo for sale,"₦ 95,000,000",Agbowo,"8 flats of 3 Bedroom and 2 bedrooms on 3 plots of land at nasu, Agbowo university of Ibadan area."
5bdrm Penthouse in Agodi Gra for sale,"₦ 500,000,000",Agodi,Exquisite Sale Listing Exquisitely built units of Luxury 5 & 6 Bedrooms Duplexes Penthouse /...
"Furnished 4bdrm Bungalow in Irepodun Area, Moniya for sale","₦ 55,000,000",Moniya,"A fully furnished 3-bedroom bungalow on 503sqm of land at Aba Odo, Irepodun Area, Moniya Express,..."
"8bdrm House in Agbowo, #Ibadan for sale","₦ 25,000,000",Agbowo,"Well standing decking house for sale at Agbowo, ibadan Well accessible, serene environment...."
4bdrm Duplex in Akala Express for sale,"₦ 180,000,000",Akala Express,Newly built 4 bedroom duplex with BQ and swimming pool at zion Estate off Akala Express way Ibadan...
"Furnished 5bdrm Duplex in Kolapo Ishola Gra L, Ibadan for sale","₦ 450,000,000",Ibadan,For sale in ibadan kolapo ishola gra for sale: luxurious 5-bedroom detached duplex with penthouse...
"6bdrm Bungalow in Behind Advocat, Eleyele for sale","₦ 45,000,000",Eleyele,*2 Units Of 3 Beds / Eleyele / 45M* For Sale !! 2 Units of 3 Beds Bungalow Home on a Large Landsize...
"5bdrm Duplex in Omolayo Estate, Akobo for sale","₦ 140,000,000",Akobo,Tastefully finished newly renovated 5 bedroom detached duplex with a room and parlour self contained...
"4bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 450,000,000",Akobo,"*For Sale Exquisitely designed 4-bedroom fully detached triplexes, thoughtfully crafted with..."
"3bdrm Block of Flats in Abayomi Akinmosa, Idishin for sale","₦ 150,000,000",Idishin,5 blocks of 3 bedroom flats plus a 2 bedroom chalet on approximately 1200sqm with conveyance....
"5bdrm Duplex in International Cards, Oluyole Estate for sale","₦ 130,000,000",Oluyole Estate,"This is a lavishly designed, exquisitely built and tastefully finished detached 4 bedroom house with..."
Luxury Mini Flats in a Serene Neighborhood Near Sango-Otta,"₦ 100,000,000",Ibadan,This is a massive beautiful building with 10 one bedroom mini-flats and 2 numbers of 2 bedroom flats...
"7bdrm Mansion in Ajadi Estate, Ologuneru for sale","₦ 65,000,000",Ologuneru,"7 Bedroom uncompleted building , in a serene environments , Located in the heart of Ologuneru Ibadan..."
"3bdrm Block of Flats in Promise Land Estate, Akala Express for sale","₦ 90,000,000",Akala Express,"4flat of 3 bedroom each at elebu promise land, oluyole extension the property is on 3 plots, giving..."
"Furnished 5bdrm Duplex in Kolapo Ishola, Akobo for sale","₦ 380,000,000",Akobo,"For sale executive 5 bedroom duplex for sale at kolapo ishola gra, akobo, ibadan with modern..."
Furnished 5bdrm Duplex in Samonda for sale,"₦ 650,000,000",Samonda,6 Bedroom & 4 Bedroom Duplexes inside gated estate at Aerodrome GRA Samonda Ibadan Modern 6...
4bdrm Duplex in Carlton Gate Estate for sale,"₦ 195,000,000",Ibadan,"#markprize/pol/16/05/25# A 4 bedroom detached duplex with a room bq at Carlton Gate Estate, Akobo,..."
"6bdrm Block of Flats in Bola, Ojoo for sale","₦ 60,000,000",Ojoo,*2 Units 3 Beds / Ojoo For Sale !! Newly Built 2 Units Of 3 Beds Bungalow Home In a Residentially...
"6bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 135,000,000",Akobo,*For Sale* Tastefully finished luxurious Newly Built 5 bedroom semi detached duplex for sale....
"4bdrm Duplex in Asaaju, Ibadan for sale","₦ 20,000,000",Ibadan,This uncompleted beautiful edifice is a 3 bedroom duplex with personal bathrooms and toilets with a...
2bdrm Bungalow in Moniya for sale,"₦ 75,000,000",Moniya,"A Two bedroom twin flats and room/parlor self contained at Taiwo Olobi, Moniya Express,..."
"2bdrm House in Calton Gate, Akobo for sale","₦ 100,000,000",Akobo,For Sale !! Newly Built 2 Bedroom duplex equipped with Modern Facilities In a well residential...
"10bdrm Bungalow in Ajao, Bodija, Ibadan for sale","₦ 50,000,000",Ibadan,"Commercial property in a strategic location, Ibadan Property for sale at Ajao Estate, Bodija/Agbowo..."
4bdrm Duplex in Akobo for sale,"₦ 200,000,000",Akobo,4 bedroom duplex in gated estate at carton gate akobo gra ibadan fully detached 4bedroom duplex...
"4bdrm Bungalow in Elebu Estate, Akala Express for sale","₦ 55,000,000",Akala Express,*4 Beds / Elebu / 55M* For Sale !! 4 Beds Bungalow Home In a well-organized residential estate Buy...
5bdrm Duplex in Agodi Gra for sale,"₦ 220,000,000",Agodi,"Tastefully finished newly built luxurious 5-bedroom detached duplex at agodi gra, ibadan. with..."
"4bdrm Bungalow in Carlton Gate Estate, Akobo for sale","₦ 220,000,000",Akobo,For sale fully detached 4 bedroom bungalow and bq features:- •all rooms en-suite •24hours security...
3bdrm Bungalow in Odo Oba for sale,"₦ 12,000,000",Odo Oba,"Uncompleted 3 bedroom for sale at Odo Oba, Moniya Ibadan. • Features - 60% completed - Full plot..."
Furnished 3bdrm Bungalow in Ibadan for sale,"₦ 45,000,000",Ibadan,"A self compound 3 bedroom flat for sale at Lifeforte, Awotan Ibadan. Features - Access road -..."
"4bdrm Duplex in Calton Gate, Akobo for sale","₦ 260,000,000",Akobo,For sale luxury fully detached 4 bedroom duplex with bq location carlton gate estates kolapo ishola...
"3bdrm Block of Flats in Tiger Estate, Ojoo for sale","₦ 25,000,000",Ojoo,"A modern built two nos of 3 bedroom flat already roof, all ensuite, story building, one unit of 3..."
4bdrm Duplex in Akobo for sale,"₦ 230,000,000",Akobo,"Luxury 4-Bedroom Duplex in Carlton Gate Estate, Akobo Ibadan A stunning newly built 4-bedroom duplex..."
"Furnished 4bdrm Duplex in Adenuga Street, Bodija for sale","₦ 175,000,000",Bodija,*To Be Furnished Duplexes In Bodija* !! _Now Selling... _ Ongoing Project Of Newly Built 4 Beds...
"4bdrm Duplex in Airforce Estate, Akobo for sale","₦ 120,000,000",Akobo,"*for sale in airforce estate, akobo, ibadan.* *tastefully finished luxurious newly built spacious..."
"3bdrm Bungalow in Alayo Estate,, Apata for sale","₦ 30,000,000",Apata,"*FOR SALE ` Tastefully and Nicely Built 3 Bedroom Bungalow ` *Location* : Alayo Estate, Jiboye..."
"4bdrm Duplex in Kolapo Ishola Gra, Akobo for sale","₦ 185,000,000",Akobo,*| NEED TO SELL VERY FAST| * *”100% AFOLAYAN HOMES DIRECT PROPERTIES”* A Contemporary new built and...
Mini Flat in Ibadan Polytechnic/University for sale,"₦ 34,000,000",Ibadan Polytechnic/University,3 units mini flat on a full standard plot of land. Running water Prepaid meter Easy access to road
"Furnished 8bdrm Duplex in Awosika Estate, Bodija for sale","₦ 450,000,000",Bodija,A big compound of for sale within Bodija Estate and it has a story building of 8 bedroom flat and...
3bdrm House in Akala Express for sale,"₦ 35,000,000",Akala Express,"Fairly used 2 bedroom flat, a room and parlor, two room self contained and a shop for sale at Abobo,..."
5bdrm Duplex in Oluyole Estate for sale,"₦ 310,000,000",Oluyole Estate,"FOR SALE Luxury 4bedroom Duplex + BQ at BLUE GATE, Oluyole Estate, Ibadan (Gated, Tarred and Fully..."
"8bdrm Bungalow in Ajao Estate, Agbowo for sale","₦ 10,000,000",Agbowo,"Well standing 8 room Bungalow for sale at Ajao estate, Adjacent Agbowo Express Ibadan. Inspection..."
4bdrm Block of Flats in Akobo for sale,"₦ 150,000,000",Akobo,3 Units of 4-Bedroom Duplexes at Carlton gated Estate akobo area ibadan Location: Carlton Gate...
"3bdrm Bungalow in Akingbade Old Ife Rd, Ibadan for sale","₦ 55,000,000",Ibadan,*FOR SALE* 3 bedroom bungalow with 4toilet/bath + 2beds Bq *Features - Fenced & Gated - 800sqm Land...
"5bdrm Duplex in Commodore, Elebu, Akala Express for sale","₦ 135,000,000",Akala Express,For sale 5bedrooms duplex with 2bedrooms up and down on 17302m of land at elebu commodore area with...
"6bdrm Duplex in Ekerin, Ologuneru for sale","₦ 50,000,000",Ologuneru,"Uncompleted 6bd duplex with 2 units of 2bd BQ for sale at Ekerin ,Ologuneru , Ibadan. FACILITIES -..."
"7bdrm Duplex in Icast Elebu, Akala Express for sale","₦ 80,000,000",Akala Express,"This is a well built, executive 5 bedroom duplex with 2 bedroom chalet The spacious living room has..."
3bdrm Block of Flats in Moniya for sale,"₦ 30,000,000",Moniya,"Neatly Used 3 bedroom twin flat at Akingbile, Moniya Ibadan. • Features - ⁠car pack up to 5 cars -..."
4bdrm Duplex in Oluyole for sale,"₦ 385,000,000",Oluyole Estate,"FOR SALE Newly built luxury & smart 4-bedroom Mansion + BQ at Oluyole Estate, Ibadan (Gated,..."
4bdrm Duplex in Akobo for sale,"₦ 185,000,000",Akobo,4 bedroom duplex at main Kolapo ishola gra akobo ibadan Secure this newly built 4-Bedroom Detached...
"14bdrm Block of Flats in Agodi Gra, Ibadan for sale","₦ 50,000,000",Agodi,"Property for sale Four (4) nos of two bedroom flat at Agodi Gra, Abayomi estate area, Ibadan, 24/7..."
"5bdrm Duplex in Afiniyanu, Eleyele for sale","₦ 85,000,000",Eleyele,"*5 Beds / Eleyele / 85M* For Sale !! 5 bedrooms SEMI - Detached duplex (4 bed + bq) in secured,..."
"4bdrm Duplex in Kolapo Ishola, Akobo for sale","₦ 180,000,000",Akobo,For Sale Units of luxurious 4-bedroom fully detached duplexes with a gate house & BQ at Kolapo...
3bdrm Bungalow in Solomon Ogunbayo for sale,"₦ 28,000,000",Ibadan,For Sale Newly Build modern 3 bedroom self compound sitted on *995.079SQM fence gated with 4 toilet...
"3bdrm Bungalow in Olorunkemi Estate, Akala Express for sale","₦ 50,000,000",Akala Express,"A Fairly Used 3 bedroom twin flat at Olorunkemi Estate, Elebu, Ibadan. • Features - Running water -..."
3bdrm Duplex in Jericho Gra for sale,"₦ 180,000,000",Jericho,For sale Luxury units of 3bedroom semi detached duplex Location : Jericho GRA IBADAN PRICE : 180m
"18bdrm Block of Flats in Agbowo, University for sale","₦ 55,000,000",Agbowo,"Investment Opportunity in a strategic location, University of Ibadan & It's environment 18 nos of..."
4bdrm Duplex in Akala Express for sale,"₦ 185,000,000",Akala Express,"4 bedroom duplex with BQ at Zionist Estate, Akala Express way Ibadan A top-notch 4 bedroom..."
"4bdrm Bungalow in Balogun / Laniba, Ajibode for sale","₦ 22,000,000",Ajibode,*4 Beds / Ajibode Ui For Sale !! 4 Beds Bungalow Home with 2 Living Area in a New Developed Site in...
"8bdrm House in Orogun Ui, Ibadan for sale","₦ 22,000,000",Ibadan,A tenement building consisting 8 rooms with decking thst can be converted to 16/20 rooms self...
"5bdrm Duplex in Ikolaba Gra, Bodija for sale","₦ 90,000,000",Bodija,"*for sale in ikolaba gra, bodija, ibadan.* *newly built 4 bedroom duplex self compound with all..."
